iPhone 6s,13 490  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1345064479
"iPhone 7,6s,6,SE,5s,5,4s RFB",3 690  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_76s6se5s54s_rfb_1315413971
"iPhone 6,5s,4s,SE,6s,7 16/32/64/128/256",4 490  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_65s4sse6s7_163264128256_1572799709
iPhone 7,19 490  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_7_994040619
iPhone,6 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_1106155249
iPhone,1 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1511158078
iPhone,15 500  ₽,р-н Тракторозаводский,https://www.avito.ru/chelyabinsk/telefony/iphone_1391135347
iPhone,9 800  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1438224627
iPhone,4 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1063096654
iPhone,10 000  ₽,р-н Тракторозаводский,https://www.avito.ru/chelyabinsk/telefony/iphone_973142016
Айфон,5 000  ₽,,https://www.avito.ru/chelyabinsk/telefony/ayfon_1348571831
iPhone,3 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1691871887
iPhone,4 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1651257535
iPhone,24 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1314766308
iPhone 7 32gb red,19 500  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_7_32gb_red_1464891971
iPhone,16 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1539253260
iPhone,14 000  ₽,р-н Ленинский,https://www.avito.ru/chelyabinsk/telefony/iphone_931990123
iPhone,9 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1441741027
iPhone,8 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1545149674
iPhone,29 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1653990152
iPhone,17 500  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1524465265
iPhone,18 000  ₽,р-н Тракторозаводский,https://www.avito.ru/chelyabinsk/telefony/iphone_1401237810
iPhone,7 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_1214094349
iPhone,6 800  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_1324751562
iPhone,9 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1236418071
iPhone XR,63 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_xr_1289430085
iPhone XR,68 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_xr_1383436624
iPhone 8,35 500  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_8_1330769229
iPhone XS max,81 190  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_xs_max_1374484789
iPhone XR,59 900  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_xr_1719275169
iPhone XS,96 900  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_xs_980661358
iPhone 7 plus,49 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_948497186
iPhone 7,43 490  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1710266378
iPhone 8,53 280  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_8_1064764461
iPhone 7 plus,49 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1392859061
iPhone 7,46 490  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1557854694
iPhone 8 plus,44 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_8_plus_986954685
iPhone 7 32 GB,21 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_32_gb_1622444949
iPhone 8+ (Новый),60 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1277165128
iPhone 7,14 000  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1257034643
iPhone,3 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1571552100
"iPhone 5s/6/6s/7/8 ReNew (магазин, гарантия)",7 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_5s66s78_renew_magazin_garantiya_1151125761
"iPhone 7, 32 gb, чёрный в идеальном состоянии",18 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_7_32_gb_chernyy_v_idealnom_sostoyanii_1435844783
iPhone 7 plus,27 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1109979948
iPhone 7,15 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1716387669
iPhone 8 (Новый),52 990  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1080415877
iPhone 7,19 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1567504027
iPhone 7 plus,27 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1350677163
iPhone 8 (Новый),52 990  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1723617436
iPhone 8 (Новый),52 990  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1607221537
iPhone 8 (Новый),40 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1386296932
iPhone 8 (Новый),40 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1590499057
iPhone 8 (Новый),40 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1671627164
iPhone 8 (Новый),40 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1317635964
"iPhone 5s/6/6s/7/8 ReNew (магазин, гарантия)",7 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_5s66s78_renew_magazin_garantiya_1151125761
"iPhone 8, 8 plus",28 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_8_8_plus_1666477996
Новые iPhone 7/8/X (рст на официальной гарантии),30 490  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/novye_iphone_78x_rst_na_ofitsialnoy_garantii_1254787178
"Б.У. iPhone SE, 6S, 7, 7+ (гарантия 90 дней)",10 500  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/b.u._iphone_se_6s_7_7_garantiya_90_dney_1589976652
iPhone 8 (Новый),40 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1590499057
iPhone 8 (Новый),40 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1671627164
iPhone 8 (Новый),40 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1317635964
iPhone 5s Silver 32Gb ReNew,8 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_5s_silver_32gb_renew_1150842611
iPhone 5 16Gb White ReNew,7 490  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_5_16gb_white_renew_515972210
iPhone,5 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1323809587
iPhone 8 (Новый),52 990  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1436412960
iPhone 6S (Новый),22 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_novyy_1256043707
iPhone 6S (Новый),22 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_novyy_1679088899
iPhone SE 32Gb space grey,13 500  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_se_32gb_space_grey_1423769607
iPhone,5 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1065285192
iPhone 7 plus,22 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1524606601
iPhone 6s,13 500  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1280540137
iPhone 6S (Новый),22 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_novyy_1647179218
iPhone 6S,22 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1266147027
iPhone SE (Новый),17 890  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_se_novyy_1713531755
iPhone SE (Новый),17 890  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_se_novyy_1560614005
iPhone SE (Новый),17 890  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_se_novyy_1573143256
iPhone 7,19 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1411090288
iPhone 6s plus,18 490  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_plus_1448564008
iPhone SE (Новый),17 890  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_se_novyy_1373125359
iPhone 6s,16 500  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1310461807
iPhone 6 64гб,11 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_6_64gb_1054787498
iPhone 7 plus,23 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1437261731
iPhone 7,19 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1184833998
iPhone,6 200  ₽,р-н Ленинский,https://www.avito.ru/chelyabinsk/telefony/iphone_1309695755
iPhone 6s plus,23 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_plus_1648374159
iPhone 6 plus,16 790  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_6_plus_1335278891
iPhone 4s 64 Гб Б/У,4 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_4s_64_gb_bu_1458780236
iPhone 7 Plus,25 000  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1293003459
iPhone 6 (Новый),20 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6_novyy_1468936324
iPhone 6 (Новый),20 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6_novyy_1412487418
iPhone 6 (Новый),20 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6_novyy_1318700254
iPhone 5s gold 16gb,6 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_5s_gold_16gb_1645684855
iPhone 6s,17 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1424988963
iPhone 7+ 128gb,32 999  ₽,р-н Ленинский,https://www.avito.ru/chelyabinsk/telefony/iphone_7_128gb_1021811172
iPhone 6s,14 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_991628584
iPhone 7 Rose Gold 128 Gb,25 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_7_rose_gold_128_gb_1637974762
iPhone 7 в идеальном сост. полный комплект,18 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_7_v_idealnom_sost._polnyy_komplekt_1551724558
iPhone 6,12 490  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_6_1270733519
iPhone 7 plus,26 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1654540261
iPhone 8 64gb silver. рст на гарантии,35 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_64gb_silver._rst_na_garantii_1319058873
iPhone 5s,7 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_5s_1296346021
"iPhone 7,6s,6,SE,5s, RFB",7 700  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_76s6se5s_rfb_1268207848
iPhone 6s,14 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1321832136
iPhone 7 128g,23 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_128g_1290088884
iPhone 7+ 32g,25 500  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_32g_1678944249
iPhone 6,10 490  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_6_1642306079
iPhone 7,19 000  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1536674253
iPhone 5C,9 490  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_5c_1183343956
iPhone 7,19 490  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_7_994040619
"iPhone 6,5s,4s,SE,6s,7 16/32/64/128/256",4 490  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_65s4sse6s7_163264128256_1572799709
"iPhone 7,6s,6,SE,5s,5,4s RFB",3 690  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_76s6se5s54s_rfb_1315413971
iPhone 6s,13 490  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1345064479
IPhone7,21 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone7_1009183140
iPhone,2 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1417944227
iPhone,6 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_1106155249
iPhone,1 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1511158078
iPhone,9 800  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1438224627
iPhone,4 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1063096654
Айфон,5 000  ₽,,https://www.avito.ru/chelyabinsk/telefony/ayfon_1348571831
iPhone se 128 gb (Ростест),10 000  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_se_128_gb_rostest_1368119004
iPhone,3 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1691871887
iPhone,10 000  ₽,р-н Тракторозаводский,https://www.avito.ru/chelyabinsk/telefony/iphone_973142016
iPhone,4 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1651257535
iPhone,16 000  ₽,р-н Тракторозаводский,https://www.avito.ru/chelyabinsk/telefony/iphone_1255501781
iPhone,24 000  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1314766308
iPhone,16 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1539253260
iPhone,14 000  ₽,р-н Ленинский,https://www.avito.ru/chelyabinsk/telefony/iphone_931990123
iPhone,9 000  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1441741027
iPhone,8 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1545149674
iPhone 6s plus,18 490  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_plus_1204129309
iPhone 6s,14 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1574554332
iPhone 6,10 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_6_1514072434
iPhone 5C,9 490  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_5c_1561053569
iPhone 7,19 000  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1704062275
iPhone 5s,8 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_5s_1290187752
iPhone 4,3 100  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_4_1652568303
iPhone 4s,1 700  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_4s_1697790569
iPhone 4,3 200  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_4_1132092581
iPhone 4,3 300  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_4_1230095022
iPhone,29 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_1653990152
iPhone SE,12 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_se_1503132548
iPhone,17 500  ₽,р-н Курчатовский,https://www.avito.ru/chelyabinsk/telefony/iphone_1524465265
iPhone,18 000  ₽,р-н Тракторозаводский,https://www.avito.ru/chelyabinsk/telefony/iphone_1401237810
iPhone,6 800  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_1324751562
iPhone,7 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_1214094349
iPhone,9 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_1236418071
iPhone XR,63 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_xr_1289430085
iPhone XR,68 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_xr_1383436624
iPhone 8 (Новый),40 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1671627164
iPhone 6S (Новый),22 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_novyy_1679088899
iPhone 7,14 000  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1257034643
iPhone 8+ (Новый),60 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1277165128
iPhone X 256gb,58 000  ₽,р-н Тракторозаводский,https://www.avito.ru/chelyabinsk/telefony/iphone_x_256gb_1364517813
iPhone 7 plus,27 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1109979948
iPhone 7,15 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1716387669
iPhone 8 (Новый),52 990  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1080415877
iPhone 6S (Новый),22 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_novyy_1647179218
iPhone 7,19 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1567504027
iPhone 8 (Новый),52 990  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1607221537
iPhone 8,35 500  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_8_1330769229
iPhone 5s Silver 32Gb ReNew,8 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_5s_silver_32gb_renew_1150842611
iPhone 7 plus,22 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1524606601
"iPhone 8, 8 plus",28 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_8_8_plus_1666477996
"iPhone 5s/6/6s/7/8 ReNew (магазин, гарантия)",7 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_5s66s78_renew_magazin_garantiya_1151125761
"Б.У. iPhone SE, 6S, 7, 7+ (гарантия 90 дней)",10 500  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/b.u._iphone_se_6s_7_7_garantiya_90_dney_1589976652
Новые iPhone 7/8/X (рст на официальной гарантии),30 490  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/novye_iphone_78x_rst_na_ofitsialnoy_garantii_1254787178
iPhone 8,35 500  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_8_1330769229
iPhone 5s Silver 32Gb ReNew,8 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_5s_silver_32gb_renew_1150842611
iPhone 7 plus,22 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1524606601
iPhone 6s,13 500  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1280540137
iPhone XS max,81 190  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_xs_max_1374484789
iPhone XR,59 900  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_xr_1719275169
iPhone SE (Новый),17 890  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_se_novyy_1560614005
iPhone XS,96 900  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_xs_980661358
iPhone SE (Новый),17 890  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_se_novyy_1573143256
iPhone 7 plus,49 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_948497186
iPhone 7,43 490  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1710266378
iPhone 6 (Новый),20 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6_novyy_1468936324
iPhone 6 (Новый),20 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6_novyy_1412487418
iPhone 8,53 280  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_8_1064764461
iPhone 7 32 GB,21 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_32_gb_1622444949
iPhone 7,19 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1184833998
iPhone 7 plus,49 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1392859061
iPhone 6 64гб,11 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_6_64gb_1054787498
iPhone 7,46 490  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1557854694
iPhone 4s 64 Гб Б/У,4 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_4s_64_gb_bu_1458780236
iPhone 8 plus,44 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_8_plus_986954685
